# function: x**3-5x+3
# x, analytic_deriv(x), fw_diff(x), central_diff(x)
1.32000,0.22720,0.26690,0.22730
1.33000,0.30670,0.34670,0.30680
1.34000,0.38680,0.42710,0.38690
1.35000,0.46750,0.50810,0.46760
1.36000,0.54880,0.58970,0.54890
1.37000,0.63070,0.67190,0.63080
1.38000,0.71320,0.75470,0.71330
1.39000,0.79630,0.83810,0.79640
1.40000,0.88000,0.92210,0.88010
1.41000,0.96430,1.00670,0.96440
1.42000,1.04920,1.09190,1.04930
1.43000,1.13470,1.17770,1.13480
1.44000,1.22080,1.26410,1.22090
1.45000,1.30750,1.35110,1.30760
1.46000,1.39480,1.43870,1.39490
1.47000,1.48270,1.52690,1.48280
1.48000,1.57120,1.61570,1.57130
1.49000,1.66030,1.70510,1.66040
1.50000,1.75000,1.79510,1.75010
1.51000,1.84030,1.88570,1.84040
1.52000,1.93120,1.97690,1.93130
1.53000,2.02270,2.06870,2.02280
1.54000,2.11480,2.16110,2.11490
1.55000,2.20750,2.25410,2.20760
1.56000,2.30080,2.34770,2.30090
1.57000,2.39470,2.44190,2.39480
1.58000,2.48920,2.53670,2.48930
1.59000,2.58430,2.63210,2.58440
1.60000,2.68000,2.72810,2.68010
1.61000,2.77630,2.82470,2.77640
1.62000,2.87320,2.92190,2.87330
1.63000,2.97070,3.01970,2.97080
1.64000,3.06880,3.11810,3.06890
1.65000,3.16750,3.21710,3.16760
1.66000,3.26680,3.31670,3.26690
1.67000,3.36670,3.41690,3.36680
1.68000,3.46720,3.51770,3.46730
1.69000,3.56830,3.61910,3.56840
1.70000,3.67000,3.72110,3.67010
1.71000,3.77230,3.82370,3.77240
1.72000,3.87520,3.92690,3.87530
1.73000,3.97870,4.03070,3.97880
1.74000,4.08280,4.13510,4.08290
1.75000,4.18750,4.24010,4.18760
1.76000,4.29280,4.34570,4.29290
1.77000,4.39870,4.45190,4.39880
1.78000,4.50520,4.55870,4.50530
1.79000,4.61230,4.66610,4.61240
1.80000,4.72000,4.77410,4.72010
1.81000,4.82830,4.88270,4.82840
1.82000,4.93720,4.99190,4.93730
1.83000,5.04670,5.10170,5.04680
1.84000,5.15680,5.21210,5.15690
1.85000,5.26750,5.32310,5.26760
1.86000,5.37880,5.43470,5.37890
1.87000,5.49070,5.54690,5.49080
1.88000,5.60320,5.65970,5.60330
1.89000,5.71630,5.77310,5.71640
1.90000,5.83000,5.88710,5.83010
1.91000,5.94430,6.00170,5.94440
1.92000,6.05920,6.11690,6.05930
1.93000,6.17470,6.23270,6.17480
1.94000,6.29080,6.34910,6.29090
1.95000,6.40750,6.46610,6.40760
1.96000,6.52480,6.58370,6.52490
1.97000,6.64270,6.70190,6.64280
1.98000,6.76120,6.82070,6.76130
1.99000,6.88030,6.94010,6.88040
2.00000,7.00000,7.06010,7.00010
2.01000,7.12030,7.18070,7.12040
2.02000,7.24120,7.30190,7.24130
2.03000,7.36270,7.42370,7.36280
2.04000,7.48480,7.54610,7.48490
2.05000,7.60750,7.66910,7.60760
2.06000,7.73080,7.79270,7.73090
2.07000,7.85470,7.91690,7.85480
2.08000,7.97920,8.04170,7.97930
2.09000,8.10430,8.16710,8.10440
2.10000,8.23000,8.29310,8.23010
2.11000,8.35630,8.41970,8.35640
2.12000,8.48320,8.54690,8.48330
2.13000,8.61070,8.67470,8.61080
2.14000,8.73880,8.80310,8.73890
2.15000,8.86750,8.93210,8.86760
2.16000,8.99680,9.06170,8.99690
2.17000,9.12670,9.19190,9.12680
2.18000,9.25720,9.32270,9.25730
2.19000,9.38830,9.45410,9.38840
2.20000,9.52000,9.58610,9.52010
2.21000,9.65230,9.71870,9.65240
2.22000,9.78520,9.85190,9.78530
2.23000,9.91870,9.98570,9.91880
2.24000,10.05280,10.12010,10.05290
2.25000,10.18750,10.25510,10.18760
2.26000,10.32280,10.39070,10.32290
2.27000,10.45870,10.52690,10.45880
2.28000,10.59520,10.66370,10.59530
2.29000,10.73230,10.80110,10.73240
2.30000,10.87000,10.93910,10.87010
2.31000,11.00830,11.07770,11.00840
2.32000,11.14720,11.21690,11.14730
2.33000,11.28670,11.35670,11.28680
2.34000,11.42680,11.49710,11.42690
2.35000,11.56750,11.63810,11.56760
2.36000,11.70880,11.77970,11.70890
2.37000,11.85070,11.92190,11.85080
2.38000,11.99320,12.06470,11.99330
2.39000,12.13630,12.20810,12.13640
2.40000,12.28000,12.35210,12.28010
2.41000,12.42430,12.49670,12.42440
2.42000,12.56920,12.64190,12.56930
2.43000,12.71470,12.78770,12.71480
2.44000,12.86080,12.93410,12.86090
2.45000,13.00750,13.08110,13.00760
2.46000,13.15480,13.22870,13.15490
2.47000,13.30270,13.37690,13.30280
2.48000,13.45120,13.52570,13.45130
2.49000,13.60030,13.67510,13.60040
2.50000,13.75000,13.82510,13.75010
2.51000,13.90030,13.97570,13.90040
2.52000,14.05120,14.12690,14.05130
2.53000,14.20270,14.27870,14.20280
2.54000,14.35480,14.43110,14.35490
2.55000,14.50750,14.58410,14.50760
2.56000,14.66080,14.73770,14.66090
2.57000,14.81470,14.89190,14.81480
2.58000,14.96920,15.04670,14.96930
2.59000,15.12430,15.20210,15.12440
2.60000,15.28000,15.35810,15.28010
2.61000,15.43630,15.51470,15.43640
2.62000,15.59320,15.67190,15.59330
2.63000,15.75070,15.82970,15.75080
2.64000,15.90880,15.98810,15.90890
2.65000,16.06750,16.14710,16.06760
2.66000,16.22680,16.30670,16.22690
2.67000,16.38670,16.46690,16.38680
2.68000,16.54720,16.62770,16.54730
2.69000,16.70830,16.78910,16.70840
2.70000,16.87000,16.95110,16.87010
2.71000,17.03230,17.11370,17.03240
2.72000,17.19520,17.27690,17.19530
2.73000,17.35870,17.44070,17.35880
2.74000,17.52280,17.60510,17.52290
2.75000,17.68750,17.77010,17.68760
2.76000,17.85280,17.93570,17.85290
2.77000,18.01870,18.10190,18.01880
2.78000,18.18520,18.26870,18.18530
2.79000,18.35230,18.43610,18.35240
2.80000,18.52000,18.60410,18.52010
2.81000,18.68830,18.77270,18.68840
2.82000,18.85720,18.94190,18.85730
2.83000,19.02670,19.11170,19.02680
2.84000,19.19680,19.28210,19.19690
2.85000,19.36750,19.45310,19.36760
2.86000,19.53880,19.62470,19.53890
2.87000,19.71070,19.79690,19.71080
2.88000,19.88320,19.96970,19.88330
2.89000,20.05630,20.14310,20.05640
2.90000,20.23000,20.31710,20.23010
2.91000,20.40430,20.49170,20.40440
2.92000,20.57920,20.66690,20.57930
2.93000,20.75470,20.84270,20.75480
2.94000,20.93080,21.01910,20.93090
2.95000,21.10750,21.19610,21.10760
2.96000,21.28480,21.37370,21.28490
2.97000,21.46270,21.55190,21.46280
2.98000,21.64120,21.73070,21.64130
2.99000,21.82030,21.91010,21.82040
3.00000,22.00000,22.09010,22.00010
3.01000,22.18030,22.27070,22.18040
3.02000,22.36120,22.45190,22.36130
3.03000,22.54270,22.63370,22.54280
3.04000,22.72480,22.81610,22.72490
3.05000,22.90750,22.99910,22.90760
3.06000,23.09080,23.18270,23.09090
3.07000,23.27470,23.36690,23.27480
3.08000,23.45920,23.55170,23.45930
3.09000,23.64430,23.73710,23.64440
3.10000,23.83000,23.92310,23.83010
3.11000,24.01630,24.10970,24.01640
3.12000,24.20320,24.29690,24.20330
3.13000,24.39070,24.48470,24.39080
3.14000,24.57880,24.67310,24.57890
3.15000,24.76750,24.86210,24.76760
3.16000,24.95680,25.05170,24.95690
3.17000,25.14670,25.24190,25.14680
3.18000,25.33720,25.43270,25.33730
3.19000,25.52830,25.62410,25.52840
3.20000,25.72000,25.81610,25.72010
3.21000,25.91230,26.00870,25.91240
3.22000,26.10520,26.20190,26.10530
3.23000,26.29870,26.39570,26.29880
3.24000,26.49280,26.59010,26.49290
3.25000,26.68750,26.78510,26.68760
3.26000,26.88280,26.98070,26.88290
3.27000,27.07870,27.17690,27.07880
3.28000,27.27520,27.37370,27.27530
3.29000,27.47230,27.57110,27.47240
3.30000,27.67000,27.76910,27.67010
3.31000,27.86830,27.96770,27.86840
3.32000,28.06720,28.16690,28.06730
3.33000,28.26670,28.36670,28.26680
3.34000,28.46680,28.56710,28.46690
3.35000,28.66750,28.76810,28.66760
3.36000,28.86880,28.96970,28.86890
3.37000,29.07070,29.17190,29.07080
3.38000,29.27320,29.37470,29.27330
3.39000,29.47630,29.57810,29.47640
3.40000,29.68000,29.78210,29.68010
3.41000,29.88430,29.98670,29.88440
3.42000,30.08920,30.19190,30.08930
3.43000,30.29470,30.39770,30.29480
3.44000,30.50080,30.60410,30.50090
3.45000,30.70750,30.81110,30.70760
3.46000,30.91480,31.01870,30.91490
3.47000,31.12270,31.22690,31.12280
3.48000,31.33120,31.43570,31.33130
3.49000,31.54030,31.64510,31.54040
3.50000,31.75000,31.85510,31.75010
3.51000,31.96030,32.06570,31.96040
3.52000,32.17120,32.27690,32.17130
3.53000,32.38270,32.48870,32.38280
3.54000,32.59480,32.70110,32.59490
3.55000,32.80750,32.91410,32.80760
3.56000,33.02080,33.12770,33.02090
3.57000,33.23470,33.34190,33.23480
3.58000,33.44920,33.55670,33.44930
3.59000,33.66430,33.77210,33.66440
3.60000,33.88000,33.98810,33.88010
3.61000,34.09630,34.20470,34.09640
3.62000,34.31320,34.42190,34.31330
3.63000,34.53070,34.63970,34.53080
3.64000,34.74880,34.85810,34.74890
3.65000,34.96750,35.07710,34.96760
3.66000,35.18680,35.29670,35.18690
3.67000,35.40670,35.51690,35.40680
3.68000,35.62720,35.73770,35.62730
3.69000,35.84830,35.95910,35.84840
3.70000,36.07000,36.18110,36.07010
3.71000,36.29230,36.40370,36.29240
3.72000,36.51520,36.62690,36.51530
3.73000,36.73870,36.85070,36.73880
3.74000,36.96280,37.07510,36.96290
3.75000,37.18750,37.30010,37.18760
3.76000,37.41280,37.52570,37.41290
3.77000,37.63870,37.75190,37.63880
3.78000,37.86520,37.97870,37.86530
3.79000,38.09230,38.20610,38.09240
3.80000,38.32000,38.43410,38.32010
3.81000,38.54830,38.66270,38.54840
3.82000,38.77720,38.89190,38.77730
3.83000,39.00670,39.12170,39.00680
3.84000,39.23680,39.35210,39.23690
3.85000,39.46750,39.58310,39.46760
3.86000,39.69880,39.81470,39.69890
3.87000,39.93070,40.04690,39.93080
3.88000,40.16320,40.27970,40.16330
3.89000,40.39630,40.51310,40.39640
3.90000,40.63000,40.74710,40.63010
3.91000,40.86430,40.98170,40.86440
3.92000,41.09920,41.21690,41.09930
3.93000,41.33470,41.45270,41.33480
3.94000,41.57080,41.68910,41.57090
3.95000,41.80750,41.92610,41.80760
3.96000,42.04480,42.16370,42.04490
3.97000,42.28270,42.40190,42.28280
3.98000,42.52120,42.64070,42.52130
3.99000,42.76030,42.88010,42.76040
4.00000,43.00000,43.12010,43.00010
4.01000,43.24030,43.36070,43.24040
4.02000,43.48120,43.60190,43.48130
4.03000,43.72270,43.84370,43.72280
4.04000,43.96480,44.08610,43.96490
4.05000,44.20750,44.32910,44.20760
4.06000,44.45080,44.57270,44.45090
4.07000,44.69470,44.81690,44.69480
4.08000,44.93920,45.06170,44.93930
4.09000,45.18430,45.30710,45.18440
4.10000,45.43000,45.55310,45.43010
4.11000,45.67630,45.79970,45.67640
4.12000,45.92320,46.04690,45.92330
4.13000,46.17070,46.29470,46.17080
4.14000,46.41880,46.54310,46.41890
4.15000,46.66750,46.79210,46.66760
4.16000,46.91680,47.04170,46.91690
4.17000,47.16670,47.29190,47.16680
4.18000,47.41720,47.54270,47.41730
4.19000,47.66830,47.79410,47.66840
4.20000,47.92000,48.04610,47.92010
4.21000,48.17230,48.29870,48.17240
4.22000,48.42520,48.55190,48.42530
4.23000,48.67870,48.80570,48.67880
4.24000,48.93280,49.06010,48.93290
4.25000,49.18750,49.31510,49.18760
4.26000,49.44280,49.57070,49.44290
4.27000,49.69870,49.82690,49.69880
4.28000,49.95520,50.08370,49.95530
4.29000,50.21230,50.34110,50.21240
4.30000,50.47000,50.59910,50.47010
4.31000,50.72830,50.85770,50.72840
4.32000,50.98720,51.11690,50.98730
4.33000,51.24670,51.37670,51.24680
4.34000,51.50680,51.63710,51.50690
4.35000,51.76750,51.89810,51.76760
4.36000,52.02880,52.15970,52.02890
4.37000,52.29070,52.42190,52.29080
4.38000,52.55320,52.68470,52.55330
4.39000,52.81630,52.94810,52.81640
4.40000,53.08000,53.21210,53.08010
4.41000,53.34430,53.47670,53.34440
4.42000,53.60920,53.74190,53.60930
4.43000,53.87470,54.00770,53.87480
4.44000,54.14080,54.27410,54.14090
4.45000,54.40750,54.54110,54.40760
4.46000,54.67480,54.80870,54.67490
4.47000,54.94270,55.07690,54.94280
4.48000,55.21120,55.34570,55.21130
4.49000,55.48030,55.61510,55.48040
4.50000,55.75000,55.88510,55.75010
4.51000,56.02030,56.15570,56.02040
4.52000,56.29120,56.42690,56.29130
4.53000,56.56270,56.69870,56.56280
4.54000,56.83480,56.97110,56.83490
4.55000,57.10750,57.24410,57.10760
4.56000,57.38080,57.51770,57.38090
4.57000,57.65470,57.79190,57.65480
4.58000,57.92920,58.06670,57.92930
4.59000,58.20430,58.34210,58.20440
4.60000,58.48000,58.61810,58.48010
4.61000,58.75630,58.89470,58.75640
4.62000,59.03320,59.17190,59.03330
4.63000,59.31070,59.44970,59.31080
4.64000,59.58880,59.72810,59.58890
4.65000,59.86750,60.00710,59.86760
4.66000,60.14680,60.28670,60.14690
4.67000,60.42670,60.56690,60.42680
4.68000,60.70720,60.84770,60.70730
4.69000,60.98830,61.12910,60.98840
4.70000,61.27000,61.41110,61.27010
4.71000,61.55230,61.69370,61.55240
4.72000,61.83520,61.97690,61.83530
4.73000,62.11870,62.26070,62.11880
4.74000,62.40280,62.54510,62.40290
4.75000,62.68750,62.83010,62.68760
4.76000,62.97280,63.11570,62.97290
4.77000,63.25870,63.40190,63.25880
4.78000,63.54520,63.68870,63.54530
4.79000,63.83230,63.97610,63.83240
4.80000,64.12000,64.26410,64.12010
4.81000,64.40830,64.55270,64.40840
4.82000,64.69720,64.84190,64.69730
4.83000,64.98670,65.13170,64.98680
4.84000,65.27680,65.42210,65.27690
4.85000,65.56750,65.71310,65.56760
4.86000,65.85880,66.00470,65.85890
4.87000,66.15070,66.29690,66.15080
4.88000,66.44320,66.58970,66.44330
4.89000,66.73630,66.88310,66.73640
4.90000,67.03000,67.17710,67.03010
4.91000,67.32430,67.47170,67.32440
4.92000,67.61920,67.76690,67.61930
4.93000,67.91470,68.06270,67.91480
4.94000,68.21080,68.35910,68.21090
4.95000,68.50750,68.65610,68.50760
4.96000,68.80480,68.95370,68.80490
4.97000,69.10270,69.25190,69.10280
4.98000,69.40120,69.55070,69.40130
4.99000,69.70030,69.85010,69.70040
